Model,NDCG@20,Recall@20,MAP@20,Coverage@20,Europe wide Exposure@20,Non-English Exposure@20,Long-tail 20 Exposure@20,Europe wide PACPG@20,Non-English PACPG@20,Long-tail 20 PACPG@20
Popularity,0.11863579425125416,0.12914596828459543,0.05114924996423104,0.04089539388721481,0.09740680136916863,8.687543174717142e-05,0.0,-0.10318738190955573,-0.035131948427213566,0.0
ItemKNN,0.16232330697585087,0.2001952297849462,0.0754980948007363,0.16013775290572535,0.14866995662233165,0.0029028575440078765,0.0,-0.05192422665639271,-0.032315966314952864,0.0
SVD,0.18142023332290033,0.23320180800219859,0.0852899333984496,0.3525613430908308,0.18773443415191404,0.021239501148995164,0.0,-0.012859749126810316,-0.013979322709965575,0.0
MPNet-content,0.019410204198966313,0.023217502321410618,0.0055429463791950885,0.17649591046061128,0.18121731752382328,0.08751021954970341,0.0,-0.01937686575490108,0.05229139569074267,0.0
CLIP-image-content,0.014402231793918134,0.013125540553941929,0.0038312004874435767,0.10288420146362462,0.32798048556872084,0.00967638591228031,0.0,0.12738630228999648,-0.02554243794668043,0.0
Hybrid,0.16682063943099146,0.21088323713025672,0.07909270935752995,0.2767972449418855,0.18228919761884768,0.013166708910002456,0.0,-0.018304985659876677,-0.022052114948958285,0.0
