group_name,group_type,model_name,exposure_at_20,history_share,relevant_test_share,PACPG_at_20,support_catalogue_items,support_train_interactions,support_test_interactions,support_users,support_recommendation_slots,metadata_coverage_rate,unknown_share,threshold_passed,threshold_reason_if_failed
Finnish,language,Popularity,0.0,4.1871400951033225e-05,3.90625e-05,-4.1871400951033225e-05,88,7032,856,1,0,0.6728132561038199,0.3271867438961801,True,
Mandarin,language,Popularity,0.0,0.0023794106834011813,0.0024160919654138153,-0.0024160919654138153,87,45456,5797,16,0,0.6728132561038199,0.3271867438961801,True,
Danish,language,Popularity,0.0,7.739938080495356e-06,0.00025833333333333334,-0.00025833333333333334,75,9394,1126,2,0,0.6728132561038199,0.3271867438961801,True,
Portuguese,language,Popularity,0.0,0.00034684595886481755,3.205128205128205e-05,-0.00034684595886481755,76,10683,1297,1,0,0.6728132561038199,0.3271867438961801,True,
Persian,language,Popularity,0.0,1.736111111111111e-05,6.578947368421052e-05,-6.578947368421052e-05,67,8836,1072,1,0,0.6728132561038199,0.3271867438961801,True,
Dutch,language,Popularity,0.0,0.0003304224787657218,0.0006426906426906427,-0.0006426906426906427,60,5040,625,4,0,0.6728132561038199,0.3271867438961801,True,
Polish,language,Popularity,0.0,0.000405264519110742,0.0005271231132933261,-0.0005271231132933261,55,8345,1061,4,0,0.6728132561038199,0.3271867438961801,True,
Standard Chinese,language,Popularity,0.0,0.0023957059948526366,0.002649734493917458,-0.002649734493917458,62,43490,5535,18,0,0.6728132561038199,0.3271867438961801,True,
Unknown language,language,Popularity,0.0,0.00021633807314990668,0.0004926887432895322,-0.0004926887432895322,8925,18713,2397,7,0,0.6728132561038199,0.3271867438961801,True,
English,language,ItemKNN,0.997097142455992,0.9691493129100534,0.963947204503013,0.027947829545938663,14831,14350411,1793593,400,7969,0.6728132561038199,0.3271867438961801,True,
Unknown language,language,ItemKNN,0.0,0.00021633807314990668,0.0004926887432895322,-0.0004926887432895322,8925,18713,2397,7,0,0.6728132561038199,0.3271867438961801,True,
French,language,ItemKNN,0.006636529515999333,0.02454738962414365,0.027993474752616362,-0.02135694523661703,1105,454770,56896,103,57,0.6728132561038199,0.3271867438961801,True,
Japanese,language,ItemKNN,0.002336750454802506,0.013399049674318582,0.009780500305186094,-0.011062299219516077,574,239228,29976,54,21,0.6728132561038199,0.3271867438961801,True,
