Model,fold mean,fold std,NDCG@20 mean,NDCG@20 std,Recall@20 mean,Recall@20 std,Europe wide Exposure@20 mean,Europe wide Exposure@20 std,Non-English Exposure@20 mean,Non-English Exposure@20 std,Long-tail 20 Exposure@20 mean,Long-tail 20 Exposure@20 std
CLIP-image-content,2.0,1.0,0.014464552642539643,0.0017936378463494493,0.013863783703436152,0.004360689622107466,0.3239773563953139,0.011345491515006204,0.00873333802663047,0.003043924584595553,0.0,0.0
Hybrid,2.0,1.0,0.17082437329187508,0.02038072570374348,0.21597317351617487,0.027497365574926408,0.179424868402189,0.012605762605452302,0.011586275710316465,0.00407260267183179,0.0,0.0
ItemKNN,2.0,1.0,0.17478223487308897,0.00966042934766357,0.2184550360671289,0.01885893125973923,0.14441880850466907,0.008971780296202646,0.002099756341691413,0.0006593245793300839,0.0,0.0
MPNet-content,2.0,1.0,0.01873936483146987,0.002847207359240787,0.022825083504361108,0.006704069145362738,0.17434623736565327,0.006394964027366082,0.0892765867647914,0.006320113859151364,0.0,0.0
Popularity,2.0,1.0,0.1203527532455871,0.0076332904565640835,0.12715476876013185,0.02221663440711343,0.09910472598076175,0.00801200655839541,0.0001447923862452857,0.0002507877695259719,0.0,0.0
SVD,2.0,1.0,0.1889096644269884,0.008305221813665914,0.24696937992605084,0.016786002098129207,0.18528681488779153,0.006022120262512265,0.019941887310056715,0.005018920933459651,0.0,0.0
