Model,NDCG@5,Recall@5,NDCG@10,Recall@10,NDCG@20,Recall@20,NDCG@50,Recall@50,MAP@20,Coverage@20,Mean recommendation popularity@20,Europe wide Exposure@20,Europe wide CatalogueGap@20,Europe wide InteractionGap@20,Europe wide RelevantTestGap@20,Europe wide PACPG@20,EU27 Exposure@20,EU27 CatalogueGap@20,EU27 InteractionGap@20,EU27 RelevantTestGap@20,EU27 PACPG@20,US origin Exposure@20,US origin CatalogueGap@20,US origin InteractionGap@20,US origin RelevantTestGap@20,US origin PACPG@20,Non-English Exposure@20,Non-English CatalogueGap@20,Non-English InteractionGap@20,Non-English RelevantTestGap@20,Non-English PACPG@20,Long-tail 20 Exposure@20,Long-tail 20 CatalogueGap@20,Long-tail 20 InteractionGap@20,Long-tail 20 RelevantTestGap@20,Long-tail 20 PACPG@20,Blockbuster-head Exposure@20,Blockbuster-head CatalogueGap@20,Blockbuster-head InteractionGap@20,Blockbuster-head RelevantTestGap@20,Blockbuster-head PACPG@20,Spain-origin Exposure@20,Spain-origin CatalogueGap@20,Spain-origin InteractionGap@20,Spain-origin RelevantTestGap@20,Spain-origin PACPG@20,Spanish-language Exposure@20,Spanish-language CatalogueGap@20,Spanish-language InteractionGap@20,Spanish-language RelevantTestGap@20,Spanish-language PACPG@20,European Spanish-language Exposure@20,European Spanish-language CatalogueGap@20,European Spanish-language InteractionGap@20,European Spanish-language RelevantTestGap@20,European Spanish-language PACPG@20,variant,lambda
Hybrid rerank combined lambda=1.0,0.01308658166253855,0.005569943341197152,0.012162320425383672,0.00823817136407365,0.012347220543513273,0.011620029695830654,0.014462872272728277,0.018351190491653093,0.004599550327123857,0.026259147653895823,4102.3035,0.9999999999999999,0.693037474305592,0.7786068005771657,0.7994058167212755,0.7994058167212755,0.9854752631679531,0.7808687170234319,0.8686644825535468,0.8853745937623074,0.8853745937623074,0.0001720328623871277,-0.6640877046593543,-0.9052184074755303,-0.9284539710012942,-0.9325731658916142,0.9999999999999999,0.8143677858008749,0.9565215133801771,0.9647811761410392,0.9647811761410392,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9623530775363682,0.6745757096978608,-0.00535774735866168,-0.022225167003864454,-0.03665822665504059,0.20127095688302388,0.1807154306088448,0.19357410315047086,0.19495283793413584,0.19495283793413584,0.1295650090490285,0.10099809817568217,0.10796156320172823,0.1125247017974051,0.10774376055432566,0.1295650090490285,0.11275164268630253,0.12128722175951125,0.12302080709681176,0.12302080709681176,combined,1.0
Hybrid rerank europe lambda=0.0,0.13922836934187044,0.08358488776581259,0.14567004126401875,0.13628166209365708,0.16682063943099146,0.21088323713025672,0.1991697035626473,0.3048644964305533,0.07909270935752995,0.2767972449418855,19966.405,0.18228919761884768,-0.12467332807556017,-0.03910400180398649,-0.018304985659876677,-0.018304985659876677,0.10703891125077297,-0.0975676348937482,-0.009771869363633334,0.006938241845127369,0.006938241845127369,0.9705390059298499,0.3062792684081085,0.0651485655919325,0.04191300206616855,0.03779380717584857,0.013166708910002456,-0.1724655052891226,-0.030311777709820298,-0.022052114948958285,-0.022052114948958285,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9982028687907529,0.7104255009522455,0.03049204389572302,0.013624624250520245,-0.0008084354006558936,0.0023021180955816096,-0.018253408178597486,-0.005394735636971413,-0.004016000853306417,-0.004016000853306417,0.018937822978796693,-0.00962908789454964,-0.002665622868503588,0.0018975157271732823,-0.00288342551590616,0.005041380176611516,-0.011771986186114462,-0.003236407112905745,-0.0015028217756052282,-0.0015028217756052282,europe,0.0
Hybrid rerank europe lambda=0.1,0.12745633058586384,0.07822181101978193,0.12951414025186872,0.11879486923156918,0.14639326794587237,0.17804128800148697,0.17264629612877463,0.2592337439270867,0.06968559904054612,0.2423590185105467,16886.31275,0.6149716058799768,0.30800908018556894,0.3935784064571426,0.41437742260125243,0.41437742260125243,0.37426835532679836,0.1696618091822772,0.25745757471239206,0.27416768592115276,0.27416768592115276,0.9026885015391365,0.2384287640173951,-0.0027019387987808896,-0.025937502324544837,-0.030056697214864814,0.030403330675667913,-0.15522888352345715,-0.01307515594415484,-0.004815493183292826,-0.004815493183292826,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9891330828669588,0.7013557150284515,0.02142225797192887,0.004554838326726096,-0.009878221324450043,0.006833248357445817,-0.013722277916733281,-0.0008636053751072048,0.0005151294085577896,0.0005151294085577896,0.03045531877418945,0.001888407900843117,0.00885187292688917,0.01341501152256604,0.008634070279486598,0.02569768931142532,0.008884322948699341,0.01741990202190806,0.019153487359208576,0.019153487359208576,europe,0.1
Hybrid rerank europe lambda=0.2,0.09960253204185493,0.060337163688269274,0.09792559627862289,0.08528202409072698,0.10254699170727376,0.11299689441984795,0.11827145996698406,0.16319073716964952,0.04752551661745455,0.17520447696943608,12817.29175,0.8887960026746008,0.5818334769801929,0.6674028032517666,0.6882018193958764,0.6882018193958764,0.5386703194447134,0.33406377330019227,0.42185953883030713,0.43856965003906784,0.43856965003906784,0.860162424927842,0.19590268740610062,-0.04522801541007537,-0.06846357893583932,-0.0725827738261593,0.0403708123451748,-0.14526140185395026,-0.003107674274647955,0.005151988486214058,0.005151988486214058,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9830635738927708,0.6952862060542635,0.015352748997740862,-0.0015146706474619132,-0.015947730298638052,0.00967490412180666,-0.010880622152372437,0.0019780503892536383,0.0033567851729186327,0.0033567851729186327,0.039603990244115005,0.011037079370768671,0.018000544396814724,0.022563682992491594,0.01778274174941215,0.03811429901821683,0.02130093265549085,0.02983651172869957,0.031570097066000086,0.031570097066000086,europe,0.2
Hybrid rerank europe lambda=0.3,0.08292344685859764,0.04701181918786757,0.07685024313745384,0.061303880130153504,0.07917221902002082,0.08282723035657016,0.09044137175864016,0.11865920937630149,0.03536175738771816,0.13775290572535515,11034.2505,0.9759591481412423,0.6689966224468344,0.7545659487184081,0.7753649648625179,0.7753649648625179,0.5947203862955309,0.39011384015100975,0.4779096056811246,0.4946197168898853,0.4946197168898853,0.8471215482036962,0.18286181068195484,-0.05826889213422115,-0.0815044556599851,-0.08562365055030507,0.04322277813370088,-0.1424094360654242,-0.00025570848612187225,0.008003954274740141,0.008003954274740141,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9805804463936384,0.6928030785551311,0.012869621498608486,-0.003997798146594289,-0.018430857797770428,0.010276219248777686,-0.010279307025401412,0.002579365516224664,0.003958100299889658,0.003958100299889658,0.042302812234778206,0.013735901361431872,0.020699366387477925,0.025262504983154795,0.020481563740075353,0.04170481506109037,0.02489144869836439,0.03342702777157311,0.035160613108873626,0.035160613108873626,europe,0.3
Hybrid rerank europe lambda=0.4,0.07648786955059932,0.03998007315612154,0.07004075893351545,0.05215690210817549,0.06936070580640834,0.06712586129593337,0.07793223714036833,0.09509785552920931,0.031408988065869003,0.12354713732242789,10514.698375,0.9963751880649534,0.6894126623705455,0.7749819886421192,0.795781004786229,0.795781004786229,0.6079797238995716,0.4033731777550504,0.49116894328516525,0.507879054493926,0.507879054493926,0.844552594541637,0.1802928570198956,-0.060837845796280376,-0.08407340932204432,-0.0881926042123643,0.043930329064540426,-0.14170188513458465,0.0004518424447176733,0.008711505205579687,0.008711505205579687,0.0,-0.0209771780951879,0.0,0.0,0.0,0.980173471853274,0.6923961040147666,0.012462646958244061,-0.004404772686958713,-0.018837832338134852,0.01047495851516324,-0.010080567759015857,0.002778104782610218,0.004156839566275212,0.004156839566275212,0.04265762867048767,0.014090717797141335,0.021054182823187387,0.025617321418864258,0.020836380175784815,0.042570753238740495,0.025757386876014518,0.034292965949223236,0.03602655128652375,0.03602655128652375,europe,0.4
Hybrid rerank europe lambda=0.5,0.07615985685681846,0.03973007315612154,0.06942230945004788,0.051144997346270725,0.06809074840326196,0.06442348034355243,0.07627525755457873,0.09168903518288898,0.031052665344472753,0.11838140335772708,10366.93675,0.9998973530515326,0.6929348273571247,0.7785041536286984,0.7993031697728082,0.7993031697728082,0.6105720270263818,0.40596548088186063,0.4937612464119755,0.5104713576207363,0.5104713576207363,0.8440544007333131,0.17979466321157167,-0.06133603960460432,-0.08457160313036827,-0.08869079802068824,0.043942443808683944,-0.14168977039044112,0.00046395718886119153,0.008723619949723205,0.008723619949723205,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9801570431342077,0.6923796752957003,0.012446218239177798,-0.004421201406024977,-0.018854261057201116,0.010476676516270454,-0.010078849757908643,0.0027798227837174325,0.004158557567382427,0.004158557567382427,0.042767057350292376,0.014200146476946042,0.021163611502992095,0.025726750098668965,0.020945808855589523,0.042767057350292376,0.025953690987566398,0.03448927006077512,0.03622285539807563,0.03622285539807563,europe,0.5
Hybrid rerank europe lambda=0.6,0.07615985685681846,0.03973007315612154,0.06926325747955049,0.05089499734627072,0.06793169643276459,0.06417348034355243,0.07589348144899065,0.09060570184955564,0.030952665344472753,0.11795092552733534,10364.391875,0.9999999999999999,0.693037474305592,0.7786068005771657,0.7994058167212755,0.7994058167212755,0.6105880196972849,0.40598147355276376,0.4937772390828786,0.5104873502916394,0.5104873502916394,0.8440522850381129,0.17979254751637153,-0.061338155299804464,-0.08457371882556841,-0.08869291371588839,0.043942443808683944,-0.14168977039044112,0.00046395718886119153,0.008723619949723205,0.008723619949723205,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9801557264356596,0.6923783585971524,0.012444901540629716,-0.004422518104573059,-0.018855577755749198,0.010476676516270454,-0.010078849757908643,0.0027798227837174325,0.004158557567382427,0.004158557567382427,0.042767057350292376,0.014200146476946042,0.021163611502992095,0.025726750098668965,0.020945808855589523,0.042767057350292376,0.025953690987566398,0.03448927006077512,0.03622285539807563,0.03622285539807563,europe,0.6
Hybrid rerank europe lambda=0.7,0.07615985685681846,0.03973007315612154,0.06926325747955049,0.05089499734627072,0.06793169643276459,0.06417348034355243,0.07589348144899065,0.09060570184955564,0.030952665344472753,0.11795092552733534,10364.391875,0.9999999999999999,0.693037474305592,0.7786068005771657,0.7994058167212755,0.7994058167212755,0.6105880196972849,0.40598147355276376,0.4937772390828786,0.5104873502916394,0.5104873502916394,0.8440522850381129,0.17979254751637153,-0.061338155299804464,-0.08457371882556841,-0.08869291371588839,0.043942443808683944,-0.14168977039044112,0.00046395718886119153,0.008723619949723205,0.008723619949723205,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9801557264356596,0.6923783585971524,0.012444901540629716,-0.004422518104573059,-0.018855577755749198,0.010476676516270454,-0.010078849757908643,0.0027798227837174325,0.004158557567382427,0.004158557567382427,0.042767057350292376,0.014200146476946042,0.021163611502992095,0.025726750098668965,0.020945808855589523,0.042767057350292376,0.025953690987566398,0.03448927006077512,0.03622285539807563,0.03622285539807563,europe,0.7
Hybrid rerank europe lambda=0.8,0.07615985685681846,0.03973007315612154,0.06926325747955049,0.05089499734627072,0.06793169643276459,0.06417348034355243,0.07589348144899065,0.09060570184955564,0.030952665344472753,0.11795092552733534,10364.391875,0.9999999999999999,0.693037474305592,0.7786068005771657,0.7994058167212755,0.7994058167212755,0.6105880196972849,0.40598147355276376,0.4937772390828786,0.5104873502916394,0.5104873502916394,0.8440522850381129,0.17979254751637153,-0.061338155299804464,-0.08457371882556841,-0.08869291371588839,0.043942443808683944,-0.14168977039044112,0.00046395718886119153,0.008723619949723205,0.008723619949723205,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9801557264356596,0.6923783585971524,0.012444901540629716,-0.004422518104573059,-0.018855577755749198,0.010476676516270454,-0.010078849757908643,0.0027798227837174325,0.004158557567382427,0.004158557567382427,0.042767057350292376,0.014200146476946042,0.021163611502992095,0.025726750098668965,0.020945808855589523,0.042767057350292376,0.025953690987566398,0.03448927006077512,0.03622285539807563,0.03622285539807563,europe,0.8
