popularity_decile,Other / unknown,Other Europe,Spain-origin,US origin
0,0.8574423480083857,0.17684946632315054,0.2230769230769231,0.14744525547445256
1,0.03792643415284925,0.12771439087228562,0.14102564102564102,0.10593065693430657
2,0.03554412044978083,0.1380198748619801,0.16153846153846155,0.11113138686131387
3,0.026586620926243566,0.16212734633787265,0.17435897435897435,0.13677007299270072
4,0.01963026491328378,0.1507177033492823,0.12051282051282051,0.1509124087591241
5,0.014198589670287783,0.13010673536989326,0.1076923076923077,0.166514598540146
6,0.00867162187916905,0.11446448288553551,0.07179487179487179,0.18129562043795622
