group_name,mean_exposure,mean_pacpg,min_pacpg,max_exposure,support_catalogue_items,support_train_interactions
European award-signal subset,0.007413347849936691,-0.008908000501829529,-0.01632134835176622,0.02069809880071957,188,217078
European film with European director citizenship,0.008830567072830475,-0.00840423717043579,-0.017234804243266268,0.026963331492550816,405,305336
Local Europe,0.005639497348146995,-0.003755947611211638,-0.009395444959358634,0.01932523385895268,3010,195177
Local non-English no-US Europe,0.007689974789845536,-0.008800961075121946,-0.01649093586496748,0.026321660499048112,2102,306147
Platform-compatible Europe,0.18089874574826348,-0.0143135498268427,-0.09780549420593754,0.3183342455380901,2172,3103821
