iteration,Model,group_name,recommendation_exposure,profile_share
10,SVD,Europe wide,0.19123954317039238,0.19113812500718283
10,SVD,Non-English,0.025063174242017056,0.024949432352657782
10,SVD,Long-tail 20,0.0,0.0
10,SVD,Spain-origin,0.003508403812605504,0.0037037836106638983
10,SVD,Spanish-language,0.01811551896552906,0.021352716805435705
1,Hybrid,Europe wide,0.1825813879708917,0.19439136959898
1,Hybrid,Non-English,0.010931802841727541,0.027569653397866437
1,Hybrid,Long-tail 20,0.0,0.0
1,Hybrid,Spain-origin,0.001264554956075599,0.003918599609805359
1,Hybrid,Spanish-language,0.02186418396799004,0.02198137102685736
2,Hybrid,Europe wide,0.1800375467331972,0.19529266599627854
2,Hybrid,Non-English,0.011214179816085914,0.027239511463042446
2,Hybrid,Long-tail 20,0.0,0.0
2,Hybrid,Spain-origin,0.00107820854885584,0.0039277640576542245
2,Hybrid,Spanish-language,0.022579016963020546,0.021482671318215265
3,Hybrid,Europe wide,0.18533566125357778,0.19432017223149345
3,Hybrid,Non-English,0.012042285106237734,0.02654974008330212
3,Hybrid,Long-tail 20,0.0,0.0
3,Hybrid,Spain-origin,0.0011041038869827567,0.0038423726686868135
3,Hybrid,Spanish-language,0.023363357764587308,0.021024560471584738
4,Hybrid,Europe wide,0.1887813521805002,0.19315619009389262
4,Hybrid,Non-English,0.012928788980489776,0.026160165010575297
4,Hybrid,Long-tail 20,0.0,0.0
4,Hybrid,Spain-origin,0.0011487342164416068,0.0037639839501125254
4,Hybrid,Spanish-language,0.024180457807774166,0.021223033538270056
5,Hybrid,Europe wide,0.18806048620538426,0.19238870246506334
5,Hybrid,Non-English,0.012234724252836508,0.026337455705884145
5,Hybrid,Long-tail 20,0.0,0.0
5,Hybrid,Spain-origin,0.000922592063704035,0.00400020320530175
5,Hybrid,Spanish-language,0.02301272910523637,0.021436179087563113
6,Hybrid,Europe wide,0.18885439639671478,0.1917275126399261
6,Hybrid,Non-English,0.011842096731442446,0.025785432803900533
6,Hybrid,Long-tail 20,0.0,0.0
6,Hybrid,Spain-origin,0.0009687262911474827,0.003916675893899992
6,Hybrid,Spanish-language,0.02456354141446105,0.021101120084504155
7,Hybrid,Europe wide,0.19184486858183464,0.1912637024938466
7,Hybrid,Non-English,0.011434808875674869,0.02550749911747381
7,Hybrid,Long-tail 20,0.0,0.0
7,Hybrid,Spain-origin,0.0009807028222467967,0.0038392445543752145
7,Hybrid,Spanish-language,0.026599629338649,0.02063718503724339
8,Hybrid,Europe wide,0.1969292479787367,0.1906308746160616
8,Hybrid,Non-English,0.011976619972576121,0.024975790378279183
8,Hybrid,Long-tail 20,0.0,0.0
8,Hybrid,Spain-origin,0.0010290227393963043,0.0037671297883592036
8,Hybrid,Spanish-language,0.025947412783031837,0.0206040083028077
9,Hybrid,Europe wide,0.19802126481667648,0.19076044495505798
9,Hybrid,Non-English,0.013854224382686854,0.024580426926202145
9,Hybrid,Long-tail 20,0.0,0.0
9,Hybrid,Spain-origin,0.0014043116669451184,0.0036996881901227878
9,Hybrid,Spanish-language,0.025626917163726077,0.020451213779277794
10,Hybrid,Europe wide,0.19876102627619907,0.18945608319842044
10,Hybrid,Non-English,0.014165272632415368,0.02428613960487734
10,Hybrid,Long-tail 20,0.0,0.0
10,Hybrid,Spain-origin,0.0012250639768039498,0.0038125033647737235
10,Hybrid,Spanish-language,0.025949838553462466,0.020487998789465157
