group_name,group_type,model_name,exposure_at_20,history_share,relevant_test_share,PACPG_at_20,support_catalogue_items,support_train_interactions,support_test_interactions,support_users,support_recommendation_slots,metadata_coverage_rate,unknown_share,threshold_passed,threshold_reason_if_failed
UK/Ireland,region,SVD,0.13018338613232697,0.1342019407172073,0.1273718137334271,-0.004018554584880346,2536,2144160,266804,231,1060,0.6847642789060782,0.31523572109392184,True,
Unknown Europe,region,SVD,0.8122655658480857,0.7992692763602832,0.7990645338265387,0.012996289487802515,21454,11692726,1463004,393,6461,0.6847642789060782,0.31523572109392184,True,
Balkans,region,MPNet-content,0.0,0.0,0.0,0.0,61,3769,468,0,0,0.6847642789060782,0.31523572109392184,True,
Benelux,region,MPNet-content,0.0009524981430936662,0.00294408122013433,0.003516310495314717,-0.002563812352221051,310,74237,9285,23,10,0.6847642789060782,0.31523572109392184,True,
Central Europe,region,MPNet-content,0.005518288939315656,0.007227102432077279,0.009638894773741899,-0.004120605834426243,179,131381,16318,38,50,0.6847642789060782,0.31523572109392184,True,
Eastern Europe,region,MPNet-content,0.0,5.2828665408969566e-05,0.000583644296879591,-0.000583644296879591,150,15000,1888,4,0,0.6847642789060782,0.31523572109392184,True,
France,region,MPNet-content,0.0793329113104814,0.043141427774692855,0.04688649004265924,0.032446421267822156,1820,797730,98882,145,733,0.6847642789060782,0.31523572109392184,True,
Germany/Austria/Switzerland,region,MPNet-content,0.05156778279508663,0.03513350590858267,0.034455900273521425,0.016434276886503958,1135,725483,90889,117,479,0.6847642789060782,0.31523572109392184,True,
Italy/Malta,region,MPNet-content,0.014379739556871461,0.020424471263640744,0.021991696261056178,-0.007611956704184717,805,325019,40529,81,122,0.6847642789060782,0.31523572109392184,True,
Nordics,region,MPNet-content,0.0001826463961013227,0.0015828559600127813,0.0027204134185475353,-0.0025377670224462127,471,69670,8609,18,2,0.6847642789060782,0.31523572109392184,True,
Other Europe,region,MPNet-content,0.0,6.212677571306702e-05,0.00017146922932085803,-0.00017146922932085803,71,4158,529,3,0,0.6847642789060782,0.31523572109392184,True,
Spain/Portugal,region,MPNet-content,0.0030160898262029555,0.0037052399984905393,0.006318118948888027,-0.003302029122685072,410,116068,14215,28,24,0.6847642789060782,0.31523572109392184,True,
UK/Ireland,region,MPNet-content,0.09230148765909094,0.1342019407172073,0.1273718137334271,-0.04190045305811638,2536,2144160,266804,231,822,0.6847642789060782,0.31523572109392184,True,
Unknown Europe,region,MPNet-content,0.8187826824761766,0.7992692763602832,0.7990645338265387,0.01951340611589336,21454,11692726,1463004,393,6376,0.6847642789060782,0.31523572109392184,True,
Balkans,region,CLIP-image-content,0.0,0.0,0.0,0.0,61,3769,468,0,0,0.6847642789060782,0.31523572109392184,True,
Benelux,region,CLIP-image-content,0.01003396173449239,0.00294408122013433,0.003516310495314717,0.006517651239177673,310,74237,9285,23,105,0.6847642789060782,0.31523572109392184,True,
Central Europe,region,CLIP-image-content,0.0003562658883758249,0.007227102432077279,0.009638894773741899,-0.009282628885366073,179,131381,16318,38,4,0.6847642789060782,0.31523572109392184,True,
Eastern Europe,region,CLIP-image-content,0.0,5.2828665408969566e-05,0.000583644296879591,-0.000583644296879591,150,15000,1888,4,0,0.6847642789060782,0.31523572109392184,True,
France,region,CLIP-image-content,0.01779232972541413,0.043141427774692855,0.04688649004265924,-0.02909416031724511,1820,797730,98882,145,171,0.6847642789060782,0.31523572109392184,True,
Germany/Austria/Switzerland,region,CLIP-image-content,0.03793960559550904,0.03513350590858267,0.034455900273521425,0.0028060996869263694,1135,725483,90889,117,379,0.6847642789060782,0.31523572109392184,True,
Italy/Malta,region,CLIP-image-content,0.07109668562524263,0.020424471263640744,0.021991696261056178,0.04910498936418645,805,325019,40529,81,404,0.6847642789060782,0.31523572109392184,True,
Nordics,region,CLIP-image-content,0.0,0.0015828559600127813,0.0027204134185475353,-0.0027204134185475353,471,69670,8609,18,0,0.6847642789060782,0.31523572109392184,True,
Other Europe,region,CLIP-image-content,0.0,6.212677571306702e-05,0.00017146922932085803,-0.00017146922932085803,71,4158,529,3,0,0.6847642789060782,0.31523572109392184,True,
Spain/Portugal,region,CLIP-image-content,0.0,0.0037052399984905393,0.006318118948888027,-0.006318118948888027,410,116068,14215,28,0,0.6847642789060782,0.31523572109392184,True,
UK/Ireland,region,CLIP-image-content,0.2990662465961635,0.1342019407172073,0.1273718137334271,0.16486430587895617,2536,2144160,266804,231,2076,0.6847642789060782,0.31523572109392184,True,
