group_name,group_type,model_name,exposure_at_20,history_share,relevant_test_share,PACPG_at_20,support_catalogue_items,support_train_interactions,support_test_interactions,support_users,support_recommendation_slots,metadata_coverage_rate,unknown_share,threshold_passed,threshold_reason_if_failed
Unknown country,country,Popularity,0.0,4.484998322688324e-05,0.0001558485374274848,-0.0001558485374274848,8599,7408,949,4,0,0.6847642789060782,0.31523572109392184,True,
United Kingdom,country,ItemKNN,0.12301764570637357,0.13408533501525785,0.1271008472470292,-0.011067689308884285,2480,2135271,265749,231,924,0.6847642789060782,0.31523572109392184,True,
France,country,ItemKNN,0.005792643756626634,0.043141427774692855,0.04688649004265924,-0.041093846286032604,1820,797730,98882,145,61,0.6847642789060782,0.31523572109392184,True,
Germany,country,ItemKNN,0.018890202045252952,0.03228676809990919,0.031164293836632346,-0.01339656605465624,1038,682445,85509,111,163,0.6847642789060782,0.31523572109392184,True,
Italy,country,ItemKNN,0.0019990089718716036,0.020264729775575554,0.021971696261056183,-0.01997268728918458,804,320173,39914,81,21,0.6847642789060782,0.31523572109392184,True,
Spain,country,ItemKNN,0.00017604815061130331,0.0037052399984905393,0.006318118948888027,-0.006142070798276724,390,115625,14171,28,2,0.6847642789060782,0.31523572109392184,True,
Sweden,country,ItemKNN,0.0,0.0009651208898595118,0.0017639173176521854,-0.0017639173176521854,218,44720,5581,12,0,0.6847642789060782,0.31523572109392184,True,
Finland,country,ItemKNN,0.0,7.817709390426266e-05,0.0,-7.817709390426266e-05,129,10329,1235,0,0,0.6847642789060782,0.31523572109392184,True,
Denmark,country,ItemKNN,0.0,0.0004835339790137984,0.0008127764446363125,-0.0008127764446363125,167,30758,3825,7,0,0.6847642789060782,0.31523572109392184,True,
Belgium,country,ItemKNN,0.0,0.0019216597248786938,0.0014573064013562382,-0.0019216597248786938,180,30003,3819,9,0,0.6847642789060782,0.31523572109392184,True,
Netherlands,country,ItemKNN,0.0,0.0009476476651355339,0.002396146951101336,-0.002396146951101336,124,36626,4628,17,0,0.6847642789060782,0.31523572109392184,True,
Ireland,country,ItemKNN,0.0007032299567718832,0.003858708552644462,0.00258745611111878,-0.003155478595872579,129,78690,9851,19,7,0.6847642789060782,0.31523572109392184,True,
Russia,country,ItemKNN,0.0,5.2828665408969566e-05,0.000583644296879591,-0.000583644296879591,76,10796,1350,4,0,0.6847642789060782,0.31523572109392184,True,
Poland,country,ItemKNN,0.0,0.0019503540679978834,0.0033526944434510986,-0.0033526944434510986,76,31766,3960,13,0,0.6847642789060782,0.31523572109392184,True,
Norway,country,ItemKNN,0.0,0.0008582305041414256,0.0011111761909202674,-0.0011111761909202674,85,21350,2614,9,0,0.6847642789060782,0.31523572109392184,True,
Austria,country,ItemKNN,0.0,0.0019057577033846612,0.0018624158226301702,-0.0019057577033846612,77,23470,2877,12,0,0.6847642789060782,0.31523572109392184,True,
Switzerland,country,ItemKNN,0.0,0.0014657561340548617,0.002358400412918458,-0.002358400412918458,95,35282,4459,14,0,0.6847642789060782,0.31523572109392184,True,
Romania,country,ItemKNN,0.0,0.0,0.0,0.0,61,3078,388,0,0,0.6847642789060782,0.31523572109392184,True,
Unknown country,country,ItemKNN,0.0,4.484998322688324e-05,0.0001558485374274848,-0.0001558485374274848,8599,7408,949,4,0,0.6847642789060782,0.31523572109392184,True,
United Kingdom,country,SVD,0.13018338613232697,0.13408533501525785,0.1271008472470292,-0.0039019488829308835,2480,2135271,265749,231,1060,0.6847642789060782,0.31523572109392184,True,
France,country,SVD,0.029423035178626242,0.043141427774692855,0.04688649004265924,-0.017463454864032998,1820,797730,98882,145,267,0.6847642789060782,0.31523572109392184,True,
Germany,country,SVD,0.021001067137144447,0.03228676809990919,0.031164293836632346,-0.011285700962764746,1038,682445,85509,111,171,0.6847642789060782,0.31523572109392184,True,
Italy,country,SVD,0.020440099843242826,0.020264729775575554,0.021971696261056183,-0.0015315964178133565,804,320173,39914,81,163,0.6847642789060782,0.31523572109392184,True,
Spain,country,SVD,0.002970423638554896,0.0037052399984905393,0.006318118948888027,-0.0033476953103331315,390,115625,14171,28,29,0.6847642789060782,0.31523572109392184,True,
Sweden,country,SVD,0.0002479185812996687,0.0009651208898595118,0.0017639173176521854,-0.0015159987363525167,218,44720,5581,12,3,0.6847642789060782,0.31523572109392184,True,
Finland,country,SVD,0.0,7.817709390426266e-05,0.0,-7.817709390426266e-05,129,10329,1235,0,0,0.6847642789060782,0.31523572109392184,True,
Denmark,country,SVD,0.0,0.0004835339790137984,0.0008127764446363125,-0.0008127764446363125,167,30758,3825,7,0,0.6847642789060782,0.31523572109392184,True,
Belgium,country,SVD,0.0017266960141910659,0.0019216597248786938,0.0014573064013562382,-0.00019496371068762793,180,30003,3819,9,19,0.6847642789060782,0.31523572109392184,True,
Netherlands,country,SVD,0.00018774150915837847,0.0009476476651355339,0.002396146951101336,-0.0022084054419429576,124,36626,4628,17,2,0.6847642789060782,0.31523572109392184,True,
Ireland,country,SVD,0.0013935323633413592,0.003858708552644462,0.00258745611111878,-0.002465176189303103,129,78690,9851,19,14,0.6847642789060782,0.31523572109392184,True,
Russia,country,SVD,0.0,5.2828665408969566e-05,0.000583644296879591,-0.000583644296879591,76,10796,1350,4,0,0.6847642789060782,0.31523572109392184,True,
