Model,NDCG@20,Coverage@20,Europe wide Exposure@20,Non-English Exposure@20,Spain-origin Exposure@20,Mean recommendation popularity@20
SVD,0.18142023332290033,0.3525613430908308,0.18773443415191404,0.021239501148995164,0.002970423638554896,21433.855625
MPNet-content,0.019410204198966313,0.17649591046061128,0.18121731752382328,0.08751021954970341,0.0030160898262029555,7620.27375
CLIP-image-content,0.014402231793918134,0.10288420146362462,0.32798048556872084,0.00967638591228031,0.0,7365.665125
Hybrid,0.16682063943099146,0.2767972449418855,0.18228919761884768,0.013166708910002456,0.0023021180955816096,19966.405
