Model,NDCG@5,Recall@5,NDCG@10,Recall@10,NDCG@20,Recall@20,NDCG@50,Recall@50,MAP@20,Coverage@20,Mean recommendation popularity@20,Europe wide Exposure@20,Europe wide CatalogueGap@20,Europe wide InteractionGap@20,Europe wide RelevantTestGap@20,Europe wide PACPG@20,EU27 Exposure@20,EU27 CatalogueGap@20,EU27 InteractionGap@20,EU27 RelevantTestGap@20,EU27 PACPG@20,US origin Exposure@20,US origin CatalogueGap@20,US origin InteractionGap@20,US origin RelevantTestGap@20,US origin PACPG@20,Non-English Exposure@20,Non-English CatalogueGap@20,Non-English InteractionGap@20,Non-English RelevantTestGap@20,Non-English PACPG@20,Long-tail 20 Exposure@20,Long-tail 20 CatalogueGap@20,Long-tail 20 InteractionGap@20,Long-tail 20 RelevantTestGap@20,Long-tail 20 PACPG@20,Blockbuster-head Exposure@20,Blockbuster-head CatalogueGap@20,Blockbuster-head InteractionGap@20,Blockbuster-head RelevantTestGap@20,Blockbuster-head PACPG@20,Spain-origin Exposure@20,Spain-origin CatalogueGap@20,Spain-origin InteractionGap@20,Spain-origin RelevantTestGap@20,Spain-origin PACPG@20,Spanish-language Exposure@20,Spanish-language CatalogueGap@20,Spanish-language InteractionGap@20,Spanish-language RelevantTestGap@20,Spanish-language PACPG@20,European Spanish-language Exposure@20,European Spanish-language CatalogueGap@20,European Spanish-language InteractionGap@20,European Spanish-language RelevantTestGap@20,European Spanish-language PACPG@20
Popularity,0.1069492950127983,0.048917169429352134,0.11111716110481322,0.08542633056031564,0.11863579425125416,0.12914596828459543,0.1496443663357447,0.23314010449586214,0.05114924996423104,0.04089539388721481,38476.95925,0.09740680136916863,-0.20955572432523922,-0.12398639805366554,-0.10318738190955573,-0.10318738190955573,0.020068020223052853,-0.18453852592146833,-0.09674276039135346,-0.08003264918259276,-0.08003264918259276,0.9980881268665255,0.3338283893447841,0.0926976865286081,0.06946212300284416,0.06534292811252418,8.687543174717142e-05,-0.1855453387673779,-0.04339161118807558,-0.035131948427213566,-0.035131948427213566,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9999999999999999,0.7122226321614926,0.03228917510496998,0.015421755459767206,0.0009886958085910669,0.0,-0.020555526274179097,-0.007696853732553022,-0.006318118948888027,-0.006318118948888027,0.03965123473278299,0.011084323859436654,0.018047788885482707,0.022610927481159577,0.017829986238080135,0.0,-0.016813366362725977,-0.00827778728951726,-0.006544201952216744,-0.006544201952216744
ItemKNN,0.1332828564668872,0.0727821414573315,0.13425340332191743,0.11281198667908765,0.16232330697585087,0.2001952297849462,0.198527893440711,0.3087349426708515,0.0754980948007363,0.16013775290572535,22588.106,0.14866995662233165,-0.1582925690720762,-0.07272324280050252,-0.05192422665639271,-0.05192422665639271,0.031219341544943956,-0.1733872045995772,-0.08559143906946234,-0.06888132786070164,-0.06888132786070164,0.9668759104232449,0.30261617290150356,0.061485470085327565,0.03824990655956362,0.03413071166924364,0.0029028575440078765,-0.1827293566551172,-0.04057562907581488,-0.032315966314952864,-0.032315966314952864,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9999999999999999,0.7122226321614926,0.03228917510496998,0.015421755459767206,0.0009886958085910669,0.00017604815061130331,-0.020379478123567794,-0.007520805581941718,-0.006142070798276724,-0.006142070798276724,0.004811204685460368,-0.023755706187885965,-0.016792241161839912,-0.012229102566163042,-0.017010043809242485,0.0034132887206942326,-0.013400077642031745,-0.004864498568823029,-0.0031309132315225116,-0.0031309132315225116
SVD,0.1455061141697282,0.0882900172548377,0.15467469951515525,0.14416124629943639,0.18142023332290033,0.23320180800219859,0.22371215302163022,0.36047170441958687,0.0852899333984496,0.3525613430908308,21433.855625,0.18773443415191404,-0.11922809154249381,-0.03365876527092013,-0.012859749126810316,-0.012859749126810316,0.0749377554449103,-0.12966879069961088,-0.04187302516949601,-0.025162913960735306,-0.025162913960735306,0.9554460725020891,0.29118633498034774,0.05005563216417175,0.0268200686384078,0.022700873748087824,0.021239501148995164,-0.1643927130501299,-0.022238985470827588,-0.013979322709965575,-0.013979322709965575,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9999999999999999,0.7122226321614926,0.03228917510496998,0.015421755459767206,0.0009886958085910669,0.002970423638554896,-0.0175851026356242,-0.0047264300939981255,-0.0033476953103331315,-0.0033476953103331315,0.017481185826046554,-0.01108572504729978,-0.004122260021253727,0.0004408785744231432,-0.004340062668656299,0.00572542812559802,-0.011087938237127958,-0.0025523591639192407,-0.0008187738266187241,-0.0008187738266187241
MPNet-content,0.015952957796844733,0.004511212978373421,0.016024569439663777,0.009497205533483093,0.019410204198966313,0.023217502321410618,0.029721792304876746,0.05495479562393174,0.0055429463791950885,0.17649591046061128,7620.27375,0.18121731752382328,-0.12574520817058457,-0.04017588189901089,-0.01937686575490108,-0.01937686575490108,0.13538069842015454,-0.06922584772436663,0.018569917805748237,0.03528002901450894,0.03528002901450894,0.8844137491464604,0.22015401162471904,-0.020976691191456953,-0.0442122547172209,-0.04833144960754088,0.08751021954970341,-0.09812199464942166,0.044031732929880656,0.05229139569074267,0.05229139569074267,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9904291967890332,0.7026518289505259,0.022718371894003275,0.005850952248800501,-0.008582107402375638,0.0030160898262029555,-0.01753943644797614,-0.004680763906350066,-0.003302029122685072,-0.003302029122685072,0.02695728759337117,-0.001609623279975162,0.005353841746070891,0.009916980341747761,0.0051360390986683185,0.018584622927817995,0.0017712565650920171,0.010306835638300734,0.01204042097560125,0.01204042097560125
CLIP-image-content,0.011260009819094084,0.003367398481768894,0.012993158539872955,0.0075778956097384605,0.014402231793918134,0.013125540553941929,0.02276407954533222,0.039794603195494306,0.0038312004874435767,0.10288420146362462,7365.665125,0.32798048556872084,0.021017959874312986,0.10658728614588667,0.12738630228999648,0.12738630228999648,0.13832374320462035,-0.06628280293990083,0.02151296259021404,0.038223073798974744,0.038223073798974744,0.9549218077584217,0.29066207023668034,0.049531367420504346,0.0262958038947404,0.022176609004420422,0.00967638591228031,-0.17595582828684475,-0.03380210070754244,-0.02554243794668043,-0.02554243794668043,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9738848844970701,0.6861075166585628,0.006174059602040205,-0.01069336004316257,-0.02512641969433871,0.0,-0.020555526274179097,-0.007696853732553022,-0.006318118948888027,-0.006318118948888027,0.009388128860911416,-0.01917878201243492,-0.012215316986388865,-0.007652178390711995,-0.012433119633791437,0.00018349267633802215,-0.016629873686387957,-0.008094294613179238,-0.006360709275878722,-0.006360709275878722
Hybrid,0.13922836934187044,0.08358488776581259,0.14567004126401875,0.13628166209365708,0.16682063943099146,0.21088323713025672,0.1991697035626473,0.3048644964305533,0.07909270935752995,0.2767972449418855,19966.405,0.18228919761884768,-0.12467332807556017,-0.03910400180398649,-0.018304985659876677,-0.018304985659876677,0.10703891125077297,-0.0975676348937482,-0.009771869363633334,0.006938241845127369,0.006938241845127369,0.9705390059298499,0.3062792684081085,0.0651485655919325,0.04191300206616855,0.03779380717584857,0.013166708910002456,-0.1724655052891226,-0.030311777709820298,-0.022052114948958285,-0.022052114948958285,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9982028687907529,0.7104255009522455,0.03049204389572302,0.013624624250520245,-0.0008084354006558936,0.0023021180955816096,-0.018253408178597486,-0.005394735636971413,-0.004016000853306417,-0.004016000853306417,0.018937822978796693,-0.00962908789454964,-0.002665622868503588,0.0018975157271732823,-0.00288342551590616,0.005041380176611516,-0.011771986186114462,-0.003236407112905745,-0.0015028217756052282,-0.0015028217756052282
